Depart Creekside Village,Depart Moody Terrace (Ellicott),Depart South Lake Village (to Spine),Depart Alumni/Stadium,Depart Center For The Arts,Depart Lockwood,Depart Founder's/O'Brian,Depart Cooke/Hochstetter,Depart Natural Sciences Complex,Depart Flickinger Court,Depart Hadley Village,Depart Computing Center,Depart Lower Capen,Depart Student Union,Depart Lockwood,Depart Alumni/Stadium,Depart South Lake Village (to Ellicott),Depart Greiner Hall
2:50,2:55,3:00,3:02,3:04,3:05,3:10,3:11,3:12,3:20,3:25,3:27,3:28,3:30,3:31,3:33,3:35,3:38
3:02,3:07,3:12,3:14,3:16,3:17,3:22,3:23,3:24,3:32,3:37,3:39,3:40,3:42,3:43,3:45,3:47,3:50
3:15,3:20,3:25,3:27,3:29,3:30,3:35,3:36,3:37,3:45,3:50,3:52,3:53,3:55,3:56,3:58,4:00,4:03
3:27,3:32,3:37,3:39,3:41,3:42,3:47,3:48,3:49,3:57,4:02,4:04,4:05,4:07,4:08,4:10,4:12,4:15
3:40,3:45,3:50,3:52,3:54,3:55,4:00,4:01,4:02,4:10,4:15,4:17,4:18,4:20,4:21,4:23,4:25,4:28
3:52,3:57,4:02,4:04,4:06,4:07,4:12,4:13,4:14,4:22,4:27,4:29,4:30,4:32,4:33,4:35,4:37,4:40
4:05,4:10,4:15,4:17,4:19,4:20,4:25,4:26,4:27,4:35,4:40,4:42,4:43,4:45,4:46,4:48,4:50,4:53
4:17,4:22,4:27,4:29,4:31,4:32,4:37,4:38,4:39,4:47,4:52,4:54,4:55,4:57,4:58,5:00,5:02,5:05
4:30,4:35,4:40,4:42,4:44,4:45,4:50,4:51,4:52,5:00,5:05,5:07,5:08,5:10,5:11,5:13,5:15,5:18
4:42,4:47,4:52,4:54,4:56,4:57,5:02,5:03,5:04,5:12,5:17,5:19,5:20,5:22,5:23,5:25,5:27,5:30
4:55,5:00,5:05,5:07,5:09,5:10,5:15,5:16,5:17,5:25,5:30,5:32,5:33,5:35,5:36,5:38,5:40,5:43
5:07,5:12,5:17,5:19,5:21,5:22,5:27,5:28,5:29,5:37,5:42,5:44,5:45,5:47,5:48,5:50,5:52,5:55
5:20,5:25,5:30,5:32,5:34,5:35,5:40,5:41,5:42,5:50,5:55,5:57,5:58,6:00,6:01,6:03,6:05,6:08
5:32,5:37,5:42,5:44,5:46,5:47,5:52,5:53,5:54,6:02,6:07,6:09,6:10,6:12,6:13,6:15,6:17,6:20
Depart Creekside Village,Depart Moody Terrace (Ellicott),Depart South Lake Village (to Spine),Depart Alumni/Stadium,Depart Center For The Arts,Depart Lockwood,Depart Founder's/O'Brian,Depart Cooke/Hochstetter,Depart Natural Sciences Complex,Depart Flickinger Court,Depart Hadley Village,Depart Computing Center,Depart Lower Capen,Depart Student Union,Depart Lockwood,Depart Alumni/Stadium,Depart South Lake Village (to Ellicott),Depart Greiner Hall
5:45,5:50,5:55,5:57,5:59,6:00,6:05,6:06,6:07,6:15,6:20,6:22,6:23,6:25,6:26,6:28,6:30,6:33
5:57,6:02,6:07,6:09,6:11,6:12,6:17,6:18,6:19,6:27,6:32,6:34,6:35,6:37,6:38,6:40,6:42,6:45
6:10,6:15,6:20,6:22,6:24,6:25,6:30,6:31,6:32,6:40,6:45,6:47,6:48,6:50,6:51,6:53,6:55,6:58
6:22,6:27,6:32,6:34,6:36,6:37,6:42,6:43,6:44,6:52,6:57,6:59,7:00,7:02,7:03,7:05,7:07,7:10
6:35,6:40,6:45,6:47,6:49,6:50,6:55,6:56,6:57,7:05,7:10,7:12,7:13,7:15,7:16,7:18,7:20,7:23
6:47,6:52,6:57,6:59,7:01,7:02,7:07,7:08,7:09,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
7:00,7:05,7:10,7:12,7:14,7:15,7:20,7:21,7:22,7:30,7:35,7:37,7:38,7:40,7:41,7:43,7:45,7:48
7:12,7:17,7:22,7:24,7:26,7:27,7:32,7:33,7:34,7:42,7:47,7:49,7:50,7:52,7:53,7:55,7:57,8:00
7:25,7:30,7:35,7:37,7:39,7:40,7:45,7:46,7:47,7:55,8:00,8:02,8:03,8:05,8:06,8:08,8:10,8:13
7:50,7:55,8:00,8:02,8:04,8:05,8:10,8:11,8:12,8:20,8:25,8:27,8:28,8:30,8:31,8:33,8:35,8:38
8:02,8:07,8:12,8:14,8:16,8:17,8:22,8:23,8:24,8:32,8:37,8:39,8:40,8:42,8:43,8:45,8:47,8:50
8:15,8:20,8:25,8:27,8:29,8:30,8:35,8:36,8:37,8:45,8:50,8:52,8:53,8:55,8:56,8:58,9:00,9:03
8:40,8:45,8:50,8:52,8:54,8:55,9:00,9:01,9:02,9:10,9:15,9:17,9:18,9:20,9:21,9:23,9:25,9:28
8:52,8:57,9:02,9:04,9:06,9:07,9:12,9:13,9:14,9:22,9:27,9:29,9:30,9:32,9:33,9:35,9:37,9:40
9:05,9:10,9:15,9:17,9:19,9:20,9:25,9:26,9:27,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
9:30,9:35,9:40,9:42,9:44,9:45,9:50,9:51,9:52,10:00,10:05,10:07,10:08,10:10,10:11,10:13,10:15,10:18
9:42,9:47,9:52,9:54,9:56,9:57,10:02,10:03,10:04,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
10:20,10:25,10:30,10:32,10:34,10:35,10:40,10:41,10:42,10:50,10:55,10:57,10:58,11:00,11:01,11:03,11:05,11:08
11:10,11:15,11:20,11:22,11:24,11:25,11:30,11:31,11:32,11:40,11:45,11:47,11:48,11:50,11:51,11:53,11:55,11:58
12:00,12:05,12:10,12:12,12:14,12:15,12:20,12:21,12:22,12:30,12:35,12:37,12:38,12:40,12:41,12:43,12:45,12:48
12:50,12:55,1:00,1:02,1:04,1:05,1:10,1:11,1:12,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup
